dateTime,value
4/5/2010 12:00,90.4
4/6/2010 3:00,83.5
4/6/2010 12:00,84.1
4/7/2010 3:00,83.8
4/7/2010 12:00,90.2
4/8/2010 3:00,85.3
4/8/2010 12:00,83.4
4/9/2010 3:00,84
4/9/2010 12:00,93
4/10/2010 3:00,86.4
4/10/2010 12:00,95.6
4/11/2010 3:00,82.7
4/11/2010 12:00,95.7
4/12/2010 3:00,86.6
4/12/2010 12:00,92.7
4/13/2010 3:00,86.4
4/13/2010 12:00,92.7
4/14/2010 3:00,85
4/14/2010 12:00,78
4/15/2010 3:00,85.3
4/15/2010 12:00,88.5
4/16/2010 3:00,86.2
4/16/2010 12:00,85
4/17/2010 3:00,83.5
4/17/2010 12:00,81.9
4/18/2010 3:00,91.6
4/18/2010 12:00,90
4/19/2010 3:00,88.9
4/19/2010 12:00,95.4
4/20/2010 3:00,84.6
4/20/2010 12:00,92.6
4/21/2010 3:00,86.1
4/21/2010 12:00,92.5
4/22/2010 3:00,81.3
4/22/2010 12:00,92.8
4/23/2010 3:00,85.3
4/23/2010 12:00,86.2
4/24/2010 3:00,80
4/24/2010 12:00,93
4/25/2010 3:00,81.4
4/25/2010 12:00,90
4/26/2010 3:00,87.9
4/26/2010 12:00,100
4/27/2010 3:00,85.4
4/27/2010 12:00,84.6
4/28/2010 3:00,89
4/28/2010 12:00,89.9
4/29/2010 3:00,91.6
4/29/2010 12:00,85.2
4/30/2010 3:00,96.5
4/30/2010 12:00,100
5/1/2010 3:00,91.6
5/1/2010 12:00,92.5
5/2/2010 3:00,90.6
5/2/2010 12:00,92.3
5/3/2010 3:00,87.7
5/3/2010 12:00,90
5/4/2010 3:00,92.5
5/4/2010 12:00,87.3
5/5/2010 3:00,86.4
5/5/2010 12:00,85.6
5/6/2010 3:00,87.9
5/6/2010 12:00,89.4
5/7/2010 3:00,90.2
5/7/2010 12:00,94
5/8/2010 3:00,92
5/8/2010 12:00,94.9
5/9/2010 3:00,90.4
5/9/2010 12:00,85.7
5/10/2010 3:00,98.3
5/10/2010 12:00,88.4
5/11/2010 3:00,90.7
5/11/2010 12:00,91.4
5/12/2010 3:00,88.7
5/12/2010 12:00,85.3
5/13/2010 3:00,85.8
5/13/2010 12:00,93.2
5/14/2010 3:00,85.7
5/14/2010 12:00,98.5
5/15/2010 3:00,90.6
5/15/2010 12:00,88.5
5/16/2010 3:00,80.4
5/16/2010 12:00,92.6
5/17/2010 3:00,88
5/17/2010 12:00,92.5
5/18/2010 3:00,88.1
5/18/2010 12:00,92.8
5/19/2010 3:00,92
5/19/2010 12:00,91.1
5/20/2010 3:00,93.9
5/20/2010 12:00,92.5
5/21/2010 3:00,90.3
5/21/2010 12:00,93.6
5/22/2010 3:00,90.7
5/22/2010 12:00,85.3
5/23/2010 3:00,91.2
5/23/2010 12:00,88.2
5/24/2010 3:00,96.6
5/24/2010 12:00,92.2
5/25/2010 3:00,96.8
5/25/2010 12:00,92.2
5/26/2010 3:00,92.3
5/26/2010 12:00,78.7
5/27/2010 3:00,86.3
5/27/2010 12:00,88.8
5/28/2010 3:00,92.6
5/28/2010 12:00,85.6
5/29/2010 3:00,98.5
5/29/2010 12:00,98.6
5/30/2010 3:00,98.5
5/30/2010 12:00,92.8
5/31/2010 3:00,88
5/31/2010 12:00,100
6/1/2010 3:00,92.2
6/1/2010 12:00,82.6
6/2/2010 3:00,89.7
6/2/2010 12:00,92.3
6/3/2010 3:00,95.1
6/3/2010 12:00,92.2
6/4/2010 3:00,91.7
6/4/2010 12:00,92.2
6/5/2010 3:00,96.6
6/5/2010 12:00,92.2
6/6/2010 3:00,87.6
6/6/2010 12:00,94.1
6/7/2010 3:00,96.8
6/7/2010 12:00,82.7
6/8/2010 3:00,91
6/8/2010 12:00,82.6
6/9/2010 3:00,96.7
6/9/2010 12:00,92.3
6/10/2010 3:00,92.3
6/10/2010 12:00,92.8
6/11/2010 3:00,89.7
6/11/2010 12:00,85.8
6/12/2010 3:00,89.3
6/12/2010 12:00,92.5
6/13/2010 3:00,93.9
6/13/2010 12:00,78.3
6/14/2010 3:00,89.3
6/14/2010 12:00,85.6
6/15/2010 3:00,92.2
6/15/2010 12:00,92.6
6/16/2010 3:00,100
6/16/2010 12:00,89.9
6/17/2010 3:00,96.6
6/17/2010 12:00,92.2
6/18/2010 3:00,91.8
6/18/2010 12:00,94.1
6/19/2010 3:00,93.5
6/19/2010 12:00,85.6
6/20/2010 3:00,96.6
6/20/2010 12:00,97
6/21/2010 3:00,92.1
6/21/2010 12:00,92.8
6/22/2010 3:00,85.4
6/22/2010 12:00,95.3
6/23/2010 3:00,85
6/23/2010 12:00,92.5
6/24/2010 3:00,85.3
6/24/2010 12:00,100
6/25/2010 3:00,91.6
6/25/2010 12:00,92.5
6/26/2010 3:00,88.4
6/26/2010 12:00,92.2
6/27/2010 3:00,98.3
6/27/2010 12:00,92
6/28/2010 3:00,85
6/28/2010 12:00,96.9
6/29/2010 3:00,93.6
6/29/2010 12:00,92.3
6/30/2010 3:00,92.1
6/30/2010 12:00,89.4
7/1/2010 3:00,96.8
7/1/2010 12:00,85.3
7/2/2010 3:00,95.1
7/2/2010 12:00,82.6
7/3/2010 3:00,92.2
7/3/2010 12:00,88.4
7/4/2010 3:00,95.2
7/4/2010 12:00,82.6
7/5/2010 3:00,92.2
7/5/2010 12:00,85.3
7/6/2010 3:00,98.3
7/6/2010 12:00,95.4
7/7/2010 3:00,95.3
7/7/2010 12:00,80
7/8/2010 3:00,92.2
7/8/2010 12:00,92.6
7/9/2010 3:00,98.3
7/9/2010 12:00,91.8
7/10/2010 3:00,93.3
7/10/2010 12:00,98.3
7/11/2010 3:00,86.2
7/11/2010 12:00,90.8
7/12/2010 3:00,96.6
7/12/2010 12:00,100
7/13/2010 3:00,93.3
7/13/2010 12:00,92.3
7/14/2010 3:00,92
7/14/2010 12:00,82.6
7/15/2010 3:00,97
7/15/2010 12:00,97
7/16/2010 3:00,98.3
7/16/2010 12:00,100
7/17/2010 3:00,92.5
7/17/2010 12:00,98.5
7/18/2010 3:00,98.3
7/18/2010 12:00,100
7/19/2010 3:00,100
7/19/2010 12:00,100
7/20/2010 3:00,90.6
7/20/2010 12:00,100
7/21/2010 3:00,96.6
7/21/2010 12:00,71
7/22/2010 3:00,92
7/22/2010 12:00,96.7
7/23/2010 3:00,92
7/23/2010 12:00,94.1
7/24/2010 3:00,93.7
7/24/2010 12:00,94.1
7/25/2010 3:00,86.9
7/25/2010 12:00,85.8
7/26/2010 3:00,85
7/26/2010 12:00,92.3
7/27/2010 3:00,85
7/27/2010 12:00,85.8
7/28/2010 3:00,92.6
7/28/2010 12:00,92.6
7/29/2010 3:00,92.5
7/29/2010 12:00,98.3
7/30/2010 3:00,81.1
7/30/2010 12:00,84.6
7/31/2010 3:00,95.1
7/31/2010 12:00,92.5
8/1/2010 3:00,95.1
8/1/2010 12:00,92.5
8/2/2010 3:00,92.2
